Window training time,Source ID,Collection time,Publishing time,Preprocessing time start,Preprocessing time end,Data arrival time
3959098097,37f483c2,1750109215.9580784,3959098095.86153,3959098097.8263383,3959098097.964706,1750109218.1240451
3959098099,406fed66,1750109217.9251325,3959098097.821198,3959098099.794248,3959098099.9346585,1750109220.2011025
3959098101,ce1630f2,1750109219.9007633,3959098099.805282,3959098101.737418,3959098101.876382,1750109222.2943525
3959098103,50931061,1750109221.83047,3959098101.7284045,3959098103.601965,3959098103.7256026,1750109223.8732831
3959098105,50931061,1750109223.801439,3959098103.7047296,3959098105.627195,3959098105.790532,1750109225.934204
3959098107,406fed66,1750109225.7166388,3959098105.6140146,3959098107.532787,3959098107.6616755,1750109227.8088923
3959098109,50931061,1750109227.620732,3959098107.5260825,3959098109.512112,3959098109.6397195,1750109229.8024318
3959098111,31166487,1750109229.6039913,3959098109.505613,3959098111.4473634,3959098111.5786943,1750109231.7250435
3959098113,37f483c2,1750109231.53992,3959098111.441946,3959098113.447076,3959098113.5551763,1750109233.922149
3959098115,31166487,1750109233.5340722,3959098113.437816,3959098115.4131656,3959098115.5378838,1750109235.7917347
3959098117,31166487,1750109235.5572157,3959098115.455228,3959098117.363648,3959098117.487271,1750109237.654509
3959098078,37f483c2,1750109195.6678343,3959098075.567456,3959098078.094053,3959098078.2316685,1750109241.2721076
3959098078,37f483c2,1750109195.6678343,3959098075.567456,3959098078.094053,3959098078.2316685,1750109241.327832
3959098080,37f483c2,1750109198.1890738,3959098078.09251,3959098080.0409956,3959098080.1639137,1750109241.6818147
3959098080,37f483c2,1750109198.1890738,3959098078.09251,3959098080.0409956,3959098080.1639137,1750109242.4801488
3959098081,50931061,1750109200.1266348,3959098080.0336227,3959098081.961186,3959098082.1073565,1750109242.770778
3959098083,50931061,1750109202.160199,3959098082.0658307,3959098083.988608,3959098084.173403,1750109243.0173187
3959098081,50931061,1750109200.1266348,3959098080.0336227,3959098081.961186,3959098082.1073565,1750109243.1258378
3959098086,73cc0ebb,1750109204.0879862,3959098083.9824996,3959098086.023574,3959098086.1743693,1750109243.210424
3959098083,50931061,1750109202.160199,3959098082.0658307,3959098083.988608,3959098084.173403,1750109243.3807023
3959098087,50931061,1750109206.1159937,3959098086.011831,3959098087.9478884,3959098088.067395,1750109243.4092073
3959098086,73cc0ebb,1750109204.0879862,3959098083.9824996,3959098086.023574,3959098086.1743693,1750109243.6119473
3959098090,73cc0ebb,1750109208.0272322,3959098087.9381013,3959098090.0284724,3959098090.16824,1750109243.6348217
