Window training time,Source ID,Collection time,Publishing time,Polling time,Preprocessing time start,Preprocessing time end,Data arrival time,training_epoch_start,training_epoch_end,training_round_start,training_round_end,local_model_size,global_model_size
3959098134,ce1630f2,1750109252.8975372,3959098132.7939243,3959098133.272038,3959098134.6872644,3959098134.837417,3959098135.0641513,1750109255.175592,1750109255.9196274,0,1750109250.650353,1750109255.9196312,55315,55389
3959098134,ce1630f2,1750109252.8975372,3959098132.7939243,3959098133.272038,3959098134.6872644,3959098134.837417,3959098134.8687153,1750109254.980064,1750109255.9533823,0,1750109250.5933616,1750109255.953397,55315,55389
3959098134,ce1630f2,1750109252.8975372,3959098132.7939243,3959098133.272038,3959098134.6872644,3959098134.837417,3959098134.910738,1750109255.022182,1750109256.2027822,0,1750109250.5786252,1750109256.2027857,55315,55389
3959098136,50931061,1750109254.7829673,3959098134.6829987,3959098135.1820855,3959098136.6106095,3959098136.752555,3959098136.9185123,1750109257.029867,1750109257.761571,0,1750109256.4344244,,55315,55389
3959098136,50931061,1750109254.7829673,3959098134.6829987,3959098135.1820855,3959098136.6106095,3959098136.752555,3959098136.886842,1750109256.998249,1750109257.8892906,0,1750109256.3974023,,55315,55389
3959098136,50931061,1750109254.7829673,3959098134.6829987,3959098135.1820855,3959098136.6106095,3959098136.752555,3959098137.09799,1750109257.2230868,1750109258.1038907,0,1750109256.4211829,,55315,55389
3959098138,50931061,1750109256.7297926,3959098136.6306434,3959098137.131621,3959098138.5145793,3959098138.6531315,3959098138.7595444,1750109258.878144,1750109259.9067507,0,1750109256.4344244,,55315,55389
3959098138,50931061,1750109256.7297926,3959098136.6306434,3959098137.131621,3959098138.5145793,3959098138.6531315,3959098138.6768436,1750109258.7880864,1750109260.2613373,0,1750109256.3974023,,55315,55389
3959098138,50931061,1750109256.7297926,3959098136.6306434,3959098137.131621,3959098138.5145793,3959098138.6531315,3959098138.9203305,1750109259.0317726,1750109260.3078382,0,1750109256.4211829,,55315,55389
3959098140,31166487,1750109258.6038563,3959098138.5084867,3959098139.02843,3959098140.4707437,3959098140.627328,3959098140.6519566,1750109260.7631047,1750109261.6582246,0,1750109256.3974023,1750109261.6582282,55315,55389
3959098140,31166487,1750109258.6038563,3959098138.5084867,3959098139.02843,3959098140.4707437,3959098140.627328,3959098140.884721,1750109260.99587,1750109261.8994606,0,1750109256.4344244,1750109261.899466,55315,55389
3959098140,31166487,1750109258.6038563,3959098138.5084867,3959098139.02843,3959098140.4707437,3959098140.627328,3959098141.040513,1750109261.18189,1750109262.003557,0,1750109256.4211829,1750109262.003573,55315,55389
3959098142,73cc0ebb,1750109260.552234,3959098140.456951,3959098141.0953903,3959098142.4736037,3959098142.5999064,3959098142.638023,1750109262.7490337,1750109263.555015,0,1750109262.3559322,,55315,55389
3959098142,73cc0ebb,1750109260.552234,3959098140.456951,3959098141.0953903,3959098142.4736037,3959098142.5999064,3959098142.687839,1750109262.799732,1750109263.5747223,0,1750109262.3505929,,55315,55389
3959098142,73cc0ebb,1750109260.552234,3959098140.456951,3959098141.0953903,3959098142.4736037,3959098142.5999064,3959098142.8464303,1750109262.9593625,1750109263.8460197,0,1750109262.3341234,,55315,55389
3959098144,406fed66,1750109262.5692997,3959098142.4713964,3959098142.9681706,3959098144.415287,3959098144.5551124,3959098144.5875044,1750109264.700886,1750109265.8946862,0,1750109262.3559322,,55315,55389
3959098144,406fed66,1750109262.5692997,3959098142.4713964,3959098142.9681706,3959098144.415287,3959098144.5551124,3959098144.6177616,1750109264.730676,1750109265.933473,0,1750109262.3505929,,55315,55389
3959098144,406fed66,1750109262.5692997,3959098142.4713964,3959098142.9681706,3959098144.415287,3959098144.5551124,3959098144.805146,1750109264.9162557,1750109266.1821399,0,1750109262.3341234,,55315,55389
3959098146,31166487,1750109264.509877,3959098144.407373,3959098144.926308,3959098146.328352,3959098146.46918,3959098146.5085135,1750109266.61942,1750109267.466561,0,1750109262.3559322,1750109267.4665747,55315,55389
3959098146,31166487,1750109264.509877,3959098144.407373,3959098144.926308,3959098146.328352,3959098146.46918,3959098146.644997,1750109266.7557864,1750109267.590066,0,1750109262.3505929,1750109267.5900693,55315,55389
3959098146,31166487,1750109264.509877,3959098144.407373,3959098144.926308,3959098146.328352,3959098146.46918,3959098146.804111,1750109266.9150684,1750109267.8565626,0,1750109262.3341234,1750109267.8565667,55315,55389
3959098148,406fed66,1750109266.420741,3959098146.3213763,3959098146.843762,3959098148.211136,3959098148.354446,3959098148.4321404,1750109268.543171,1750109269.2842731,0,1750109268.1146414,,55315,55389
3959098148,406fed66,1750109266.420741,3959098146.3213763,3959098146.843762,3959098148.211136,3959098148.354446,3959098148.380543,1750109268.4913163,1750109269.3920035,0,1750109268.1108103,,55315,55389
3959098148,406fed66,1750109266.420741,3959098146.3213763,3959098146.843762,3959098148.211136,3959098148.354446,3959098148.7171326,1750109268.8280542,1750109269.8177195,0,1750109268.1046638,,55315,55389
3959098150,ce1630f2,1750109268.3295503,3959098148.226693,3959098148.8521724,3959098150.142113,3959098150.280162,3959098150.334236,1750109270.4457905,1750109271.3569863,0,1750109268.1108103,,55315,55389
3959098150,ce1630f2,1750109268.3295503,3959098148.226693,3959098148.8521724,3959098150.142113,3959098150.280162,3959098150.3624015,1750109270.4730167,1750109271.362639,0,1750109268.1146414,,55315,55389
3959098150,ce1630f2,1750109268.3295503,3959098148.226693,3959098148.8521724,3959098150.142113,3959098150.280162,3959098150.6572857,1750109270.7713373,1750109271.9557607,0,1750109268.1046638,,55315,55389
3959098152,31166487,1750109270.2293377,3959098150.134053,3959098150.6573176,3959098152.023833,3959098152.163079,3959098152.189535,1750109272.300513,1750109273.1296709,0,1750109268.1108103,1750109273.1296747,55315,55389
3959098152,31166487,1750109270.2293377,3959098150.134053,3959098150.6573176,3959098152.023833,3959098152.163079,3959098152.322445,1750109272.4330332,1750109273.36106,0,1750109268.1146414,1750109273.3610642,55315,55389
