Window training time,Source ID,Collection time,Publishing time,Polling time,Preprocessing time start,Preprocessing time end,Data arrival time,training_epoch_start,training_epoch_end,training_round_start,training_round_end,local_model_size,global_model_size
3959098115,31166487,1750109233.5340722,3959098113.437816,3959098113.940965,3959098115.4131656,3959098115.5378838,3959098115.7071157,1750109235.819407,1750109236.6658661,0,1750109233.142814,,55315,55389
3959098115,31166487,1750109233.5340722,3959098113.437816,3959098113.940965,3959098115.4131656,3959098115.5378838,3959098115.880795,1750109235.9931562,1750109236.8607762,0,1750109233.0319703,,55315,55389
3959098117,31166487,1750109235.5572157,3959098115.455228,3959098116.0111413,3959098117.363648,3959098117.487271,3959098117.575173,1750109237.6893103,1750109238.4267905,0,1750109233.142814,1750109238.4267945,55315,55389
3959098117,31166487,1750109235.5572157,3959098115.455228,3959098116.0111413,3959098117.363648,3959098117.487271,3959098117.7321744,1750109237.8445013,1750109238.455559,0,1750109233.0319703,1750109238.4555633,55315,55389
3959098117,31166487,1750109235.5572157,3959098115.455228,3959098116.0111413,3959098117.363648,3959098117.487271,3959098117.5170064,1750109237.6295068,1750109238.4710205,0,1750109233.0843298,1750109238.4710243,55315,55389
3959098119,73cc0ebb,1750109237.461819,3959098117.3610144,3959098117.8433466,3959098119.2999244,3959098119.4253573,3959098119.458194,1750109239.5702188,1750109240.2819867,0,1750109238.8276796,,55315,55389
3959098119,73cc0ebb,1750109237.461819,3959098117.3610144,3959098117.8433466,3959098119.2999244,3959098119.4253573,3959098119.503352,1750109239.6168988,1750109240.282513,0,1750109238.800727,,55315,55389
3959098119,73cc0ebb,1750109237.461819,3959098117.3610144,3959098117.8433466,3959098119.2999244,3959098119.4253573,3959098119.537245,1750109239.6497025,1750109240.4692843,0,1750109238.8766096,,55315,55389
3959098121,73cc0ebb,1750109239.4174278,3959098119.3146057,3959098119.5772486,3959098121.198598,3959098121.3458447,3959098121.374608,1750109241.4866216,1750109242.6644614,0,1750109238.8276796,,55315,55389
3959098121,73cc0ebb,1750109239.4174278,3959098119.3146057,3959098119.5772486,3959098121.198598,3959098121.3458447,3959098121.544271,1750109241.6562505,1750109242.6752396,0,1750109238.800727,,55315,55389
3959098121,73cc0ebb,1750109239.4174278,3959098119.3146057,3959098119.5772486,3959098121.198598,3959098121.3458447,3959098121.711243,1750109241.823367,1750109242.816775,0,1750109238.8766096,,55315,55389
3959098123,ce1630f2,1750109241.3525991,3959098121.2485805,3959098121.8036017,3959098123.195139,3959098123.3569927,3959098123.4972167,1750109243.609225,1750109244.3896651,0,1750109238.8276796,1750109244.3896694,55315,55389
3959098123,ce1630f2,1750109241.3525991,3959098121.2485805,3959098121.8036017,3959098123.195139,3959098123.3569927,3959098123.671884,1750109243.7838464,1750109244.602343,0,1750109238.800727,1750109244.602347,55315,55389
3959098123,ce1630f2,1750109241.3525991,3959098121.2485805,3959098121.8036017,3959098123.195139,3959098123.3569927,3959098123.921989,1750109244.0355988,1750109244.7881305,0,1750109238.8766096,1750109244.788135,55315,55389
3959098125,ce1630f2,1750109243.2885847,3959098123.1841836,3959098123.945135,3959098125.0629506,3959098125.204018,3959098125.231176,1750109245.3430126,1750109246.292987,0,1750109245.0599189,,55315,55389
3959098125,ce1630f2,1750109243.2885847,3959098123.1841836,3959098123.945135,3959098125.0629506,3959098125.204018,3959098125.4553614,1750109245.5697799,1750109246.4192455,0,1750109245.0839117,,55315,55389
3959098125,ce1630f2,1750109243.2885847,3959098123.1841836,3959098123.945135,3959098125.0629506,3959098125.204018,3959098125.4035373,1750109245.515472,1750109246.445403,0,1750109245.0611985,,55315,55389
3959098126,73cc0ebb,1750109245.2028182,3959098125.099401,3959098125.488941,3959098126.966532,3959098127.120288,3959098127.221275,1750109247.3330874,1750109248.2256997,0,1750109245.0611985,,55315,55389
3959098126,73cc0ebb,1750109245.2028182,3959098125.099401,3959098125.488941,3959098126.966532,3959098127.120288,3959098127.151329,1750109247.2630217,1750109248.3047872,0,1750109245.0599189,,55315,55389
3959098126,73cc0ebb,1750109245.2028182,3959098125.099401,3959098125.488941,3959098126.966532,3959098127.120288,3959098127.370251,1750109247.4823446,1750109248.6453488,0,1750109245.0839117,,55315,55389
3959098128,37f483c2,1750109247.0796561,3959098126.97537,3959098127.482022,3959098128.893874,3959098129.054849,3959098129.0904717,1750109249.2026308,1750109250.1304672,0,1750109245.0599189,1750109250.1304715,55315,55389
3959098128,37f483c2,1750109247.0796561,3959098126.97537,3959098127.482022,3959098128.893874,3959098129.054849,3959098129.241265,1750109249.3544674,1750109250.1436107,0,1750109245.0611985,1750109250.1436136,55315,55389
3959098128,37f483c2,1750109247.0796561,3959098126.97537,3959098127.482022,3959098128.893874,3959098129.054849,3959098129.3103466,1750109249.427558,1750109250.273687,0,1750109245.0839117,1750109250.2736902,55315,55389
3959098130,37f483c2,1750109249.007485,3959098128.904798,3959098129.332337,3959098130.823924,3959098131.013004,3959098131.1946983,1750109251.3063288,1750109252.3382373,0,1750109250.5786252,,55315,55389
3959098130,37f483c2,1750109249.007485,3959098128.904798,3959098129.332337,3959098130.823924,3959098131.013004,3959098131.3612432,1750109251.4770682,1750109252.4528575,0,1750109250.650353,,55315,55389
3959098130,37f483c2,1750109249.007485,3959098128.904798,3959098129.332337,3959098130.823924,3959098131.013004,3959098131.0416093,1750109251.1530924,1750109252.5356183,0,1750109250.5933616,,55315,55389
3959098132,73cc0ebb,1750109250.9105666,3959098130.814676,3959098131.4574246,3959098132.7899513,3959098132.940011,3959098133.1666436,1750109253.2781663,1750109254.0934818,0,1750109250.650353,,55315,55389
3959098132,73cc0ebb,1750109250.9105666,3959098130.814676,3959098131.4574246,3959098132.7899513,3959098132.940011,3959098132.9617133,1750109253.0740623,1750109254.1757085,0,1750109250.5933616,,55315,55389
3959098132,73cc0ebb,1750109250.9105666,3959098130.814676,3959098131.4574246,3959098132.7899513,3959098132.940011,3959098133.003433,1750109253.1152298,1750109254.4584298,0,1750109250.5786252,,55315,55389
